pinyin,true_hanzi,true_sim,confused_hanzi,confused_sim
ta,他,0.672264,,
bei,被,0.671828,,
ta,他,0.666676,,
yu,于,0.666480,与,0.806812
2021,2021,0.664189,,
hou,后,0.662062,,
ta,他,0.662055,,
bei,被,0.661778,,
kaishi,开始,0.661691,,
zhi,至,0.655909,,
ji,及,0.655013,,
20,20,0.653026,,
ta,他,0.652883,,
ji,及,0.649180,,
ta,他,0.646395,,
dan,但,0.646114,,
bei,被,0.645082,,
ta,他,0.642221,,
chengwei,成为,0.642148,,
ta,他,0.641705,,
ren,人,0.641700,,
zhi,至,0.641250,,
zhuyao,主要,0.633921,,
meiguo,美国,0.631784,,
ta,他,0.630673,,
15,15,0.629430,,
ta,他,0.628486,,
22,22,0.627193,,
ta,他,0.626811,,
ta,他,0.625764,,
meiguo,美国,0.624247,,
ta,他,0.622547,,
ren,人,0.620847,,
meiguo,美国,0.619741,,
dan,但,0.618144,,
meiguo,美国,0.616804,,
meiguo,美国,0.614955,,
meiguo,美国,0.613175,,
dan,但,0.613056,,
25,25,0.611058,,
meiguo,美国,0.607571,,
ye,也,0.606684,,
17,17,0.605839,,
14,14,0.601832,,
jiazuqiye,家族企业,0.600020,,
meiguo,美国,0.599999,,
2016,2016,0.597942,,
qi,其,0.597158,,
jiang,将,0.597108,,
qi,其,0.596593,,
huopan,获判,0.596105,,
meiguo,美国,0.595584,,
21,21,0.595060,,
meiguo,美国,0.593769,,
23,23,0.589113,,
18,18,0.586692,,
2015,2015,0.586655,,
qi,其,0.586199,,
yue,约,0.585827,月,0.635259
16,16,0.585200,,
2015,2015,0.585095,,
meiguo,美国,0.584795,,
201,201,0.580483,,
2004,2004,0.576420,,
meiguo,美国,0.575947,,
2016,2016,0.575825,,
2017,2017,0.575655,,
2015,2015,0.574667,,
trump,Trump,0.569107,,
qi,其,0.567296,,
2004,2004,0.563398,,
zhengzhi,政治,0.561677,,
75,75,0.560638,,
yiji,以及,0.559139,,
2019,2019,0.556201,,
19,19,0.554073,,
huo,或,0.551616,,
45,45,0.550549,,
2000,2000,0.542400,,
zui,最,0.541686,,
meiguo,美国,0.541540,,
binxifaniyadaxue,宾夕法尼亚大学,0.541451,,
baideng,拜登,0.539644,,
45,45,0.539291,,
bu,不,0.537992,,
kama,卡玛,0.537649,,
lishi,历史,0.537530,,
zhengzhi,政治,0.536570,,
shi,时,0.535418,是,0.881305
lishi,历史,0.534760,,
34,34,0.534278,,
1996,1996,0.534077,,
zui,最,0.533603,,
zhihou,之后,0.533492,,
47,47,0.527219,,
47,47,0.524452,,
1988,1988,0.519332,,
dierdu,第二度,0.518874,,
1946,1946,0.518308,,
minshianjian,民事案件,0.516173,,
yi,亦,0.513514,以,0.749463
guoji,国际,0.511927,,
xuangaochengli,宣告成立,0.511743,,
junshixueyuan,军事学院,0.507141,,
zongtong,总统,0.505498,,
zhihou,之后,0.503733,,
bu,不,0.503401,,
deguo,德国,0.501143,,
1987,1987,0.501029,,
xuanmei,选美,0.500143,,
zongtong,总统,0.498637,,
shengxuan,胜选,0.497528,,
jiao,较,0.497029,,
yishi,伊始,0.496660,,
zongtong,总统,0.495779,,
2020,2020,0.495093,,
zongtong,总统,0.494967,,
zongtong,总统,0.494333,,
shijie,世界,0.490810,,
zongtong,总统,0.490251,,
zongtong,总统,0.489705,,
zongtong,总统,0.489675,,
jiu,就,0.488413,,
zongtong,总统,0.488356,,
zhenrenxiu,真人秀,0.488285,,
zongtong,总统,0.485000,,
zongtong,总统,0.484215,,
1971,1971,0.484148,,
zuowei,作为,0.481320,,
di,第,0.480890,,
zongtong,总统,0.480175,,
di,第,0.479769,,
shi,时,0.478927,是,0.914294
zongtong,总统,0.476973,,
di,第,0.476831,,
1500,1500,0.475293,,
zongtong,总统,0.475291,,
zi,自,0.474322,,
zongtong,总统,0.473789,,
telangpu,特朗普,0.473018,,
jimiwenjian,机密文件,0.472942,,
zongtong,总统,0.472087,,
di,第,0.470178,,
ceng,曾,0.470066,,
yongyou,拥有,0.469609,,
zuida,最大,0.468660,,
di,第,0.468062,,
di,第,0.467875,,
shangji,上继,0.466733,商机,0.510736
xuanbu,宣布,0.466602,,
zongtong,总统,0.464602,,
dangshi,当时,0.463951,党史,0.465691
zongtong,总统,0.463782,,
zongtong,总统,0.463379,,
zongtong,总统,0.462969,,
zongtong,总统,0.461886,,
zhihou,之后,0.461092,,
gongzhi,公职,0.458494,,
huode,获得,0.455864,,
gongsi,公司,0.455472,,
zi,自,0.454332,,
zongtong,总统,0.451949,,
xuanju,选举,0.451133,,
wodun,沃顿,0.450141,,
zongtong,总统,0.449969,,
nianjian,年间,0.449021,,
ming,名,0.448906,,
ming,名,0.448595,,
zhiyi,之一,0.447027,,
sui,岁,0.446762,,
yimeiyuan,亿美元,0.446010,,
xuanju,选举,0.445109,,
donald,Donald,0.443949,,
xuanju,选举,0.443158,,
ming,名,0.435302,,
xuanju,选举,0.434193,,
fubusi,福布斯,0.433013,,
telangpu,特朗普,0.433007,,
nianjian,年间,0.432484,,
shangxueyuan,商学院,0.431361,,
yin,因,0.431310,,
gongzhi,公职,0.429791,,
jingjixue,经济学,0.427456,,
quanqiu,全球,0.423011,,
qian,前,0.421901,,
xuanjuren,选举人,0.421766,,
you,又,0.421676,由,0.550418
zi,自,0.421281,,
telangpu,特朗普,0.420862,,
mixiegenzhou,密歇根州,0.420161,,
shiren,时任,0.419086,,
telangpu,特朗普,0.418521,,
tongshi,同时,0.418471,,
fangdichan,房地产,0.416944,,
nei,内,0.415247,,
meitibaodao,媒体报道,0.414785,,
zongtong,总统,0.414748,,
geluofu,格罗弗,0.414397,,
daliang,大量,0.413740,,
churen,出任,0.413298,,
xingshianjian,刑事案件,0.413147,,
xueshixuewei,学士学位,0.413027,,
xiaobushen,小布什,0.412199,,
minzhudang,民主党,0.411750,,
zhuming,著名,0.410863,,
tangnade,唐纳德,0.410785,,
minzhudang,民主党,0.410163,,
zhengdang,政党,0.407932,,
bohui,驳回,0.406939,,
dangxuan,当选,0.405797,,
canyu,参与,0.404661,,
telangpu,特朗普,0.403930,,
minzhudang,民主党,0.403675,,
jialifuniyazhou,加利福尼亚州,0.403213,,
shoudao,受到,0.400464,,
danren,担任,0.399837,,
chuangxia,创下,0.399788,,
jiezhi,截至,0.399468,截止,0.421810
telangpu,特朗普,0.397487,,
gonghedangren,共和党人,0.397087,,
telangpu,特朗普,0.396007,,
jiuren,就任,0.393796,,
tongguo,通过,0.393672,,
dangxuan,当选,0.392902,,
telangpu,特朗普,0.392452,,
qizha,欺诈,0.391060,,
telangpu,特朗普,0.389308,,
juxing,举行,0.388754,,
dangxuan,当选,0.388754,,
chuangban,创办,0.388357,,
canxuan,参选,0.387775,,
zhongzui,重罪,0.387621,,
dangxuan,当选,0.386936,,
shangjie,商界,0.386609,,
dangxuan,当选,0.386444,,
telangpu,特朗普,0.385820,,
chuxuan,初选,0.385353,,
dangxuan,当选,0.384751,,
lianren,连任,0.384374,,
renqi,任期,0.383914,,
duchang,赌场,0.383862,,
renqi,任期,0.383346,,
danren,担任,0.383017,,
tuiding,推定,0.382386,,
jingxuan,竞选,0.382334,,
dongshizhang,董事长,0.381265,,
canjia,参加,0.380306,,
xuanjuren,选举人,0.379706,,
timing,提名,0.379494,,
nbc,NBC,0.379135,,
renqi,任期,0.378504,,
renqi,任期,0.377268,,
meiti,媒体,0.376926,,
xuanpiao,选票,0.376205,,
qie,且,0.375073,,
qisu,起诉,0.374530,,
qiyejia,企业家,0.373070,,
renhe,任何,0.371341,,
junzhi,军职,0.370458,,
gaige,改革,0.370196,,
baigei,败给,0.369733,,
da,达,0.369120,大,0.418840
meiti,媒体,0.368262,,
telangpu,特朗普,0.367309,,
shili,失利,0.366222,势力,0.385294
gonghedang,共和党,0.364450,,
fu,副,0.361617,府,0.374654
biye,毕业,0.360205,,
shouci,首次,0.359822,,
telangpu,特朗普,0.357711,,
zaici,再次,0.356679,,
gonghedang,共和党,0.354790,,
timing,提名,0.353737,,
telangpu,特朗普,0.353411,,
qisu,起诉,0.353260,,
bisai,比赛,0.352068,,
dingzui,定罪,0.349253,,
dianshi,电视,0.349117,,
kelifulan,克利夫兰,0.347606,,
jituan,集团,0.347390,,
jiudian,酒店,0.346362,,
liewei,列为,0.345877,,
niuyue,纽约,0.345640,,
ren,任,0.345630,人,0.647672
niuyue,纽约,0.345055,,
gonghedang,共和党,0.344956,,
shenfen,身份,0.343700,身分,0.393168
liangdu,两度,0.341235,,
yilai,以来,0.340378,,
guo,过,0.339938,,
jun,均,0.339515,军,0.378164
jingying,经营,0.338542,菁英,0.406140
shangye,商业,0.338458,,
houxuanren,候选人,0.338387,,
shouci,首次,0.336657,,
duoxiang,多项,0.336291,,
xilali,希拉里,0.336250,,
xuanpiao,选票,0.335695,,
zuiming,罪名,0.334306,,
ren,任,0.333532,人,0.684215
wutiaojian,无条件,0.333462,,
jibai,击败,0.333159,几百,0.353421
cengren,曾任,0.330327,,
tanhe,弹劾,0.329190,,
john,John,0.328950,,
xianren,现任,0.328946,,
jibai,击败,0.327751,,
yingde,赢得,0.326230,,
beipan,被判,0.325862,,
gongkai,公开,0.325756,,
shangye,商业,0.325474,,
ren,任,0.324989,人,0.650111
liangxiang,两项,0.324207,,
xiyin,吸引,0.324017,,
dang,党,0.323844,,
guanzhu,关注,0.322110,,
duoshu,多数,0.321496,,
zhendui,针对,0.321092,,
yilai,以来,0.319458,,
tanhe,弹劾,0.317607,,
piao,票,0.315957,,
biaoda,表达,0.315900,,
yingde,赢得,0.314965,,
ren,任,0.314661,人,0.727549
xiaojie,小姐,0.313386,,
xiang,项,0.313244,乡,0.336742
gonghedang,共和党,0.312769,,
zuijia,最佳,0.312096,,
renwu,人物,0.310142,任务,0.328647
piao,票,0.309895,,
gonghedang,共和党,0.309639,,
daxing,大型,0.308409,大星,0.427329
weiceng,未曾,0.307926,,
halisi,哈里斯,0.307669,,
yi,裔,0.307433,亦,0.517952
yingde,赢得,0.303234,,
zongcai,总裁,0.301827,,
zhuchi,主持,0.300877,,
chushen,出身,0.299781,,
shi,使,0.298639,是,0.929061
shouwei,首位,0.296587,,
zhikong,指控,0.293646,,
duishou,对手,0.293459,,
jingli,经历,0.292742,静力,0.465060
duoshu,多数,0.292730,,
pu,普,0.290454,,
jian,兼,0.290171,鉴,0.343784
cici,此次,0.290104,,
shouwei,首位,0.290009,,
shouwei,首位,0.287713,,
weizao,伪造,0.286843,,
qixia,旗下,0.286705,,
youzui,有罪,0.286190,,
xingqu,兴趣,0.285925,,
xuetu,学徒,0.285753,,
henkuai,很快,0.285277,,
dierci,第二次,0.283483,,
shemian,赦免,0.282919,,
duishou,对手,0.280528,,
jilu,纪录,0.279232,集录,0.441432
chengjiu,成就,0.279025,,
sheji,涉及,0.278226,设计,0.322419
mingren,名人,0.277912,,
lianxu,连续,0.277630,,
dierci,第二次,0.277623,,
fuyou,富有,0.277455,复由,0.416573
sheji,涉及,0.277357,设计,0.332252
lianxu,连续,0.276600,,
huo,获,0.276592,或,0.518873
shouwei,首位,0.275457,,
tuichu,退出,0.274112,推出,0.314577
dapo,打破,0.273977,,
biaoxian,表现,0.272269,,
jilu,记录,0.271602,纪录,0.289693
duishou,对手,0.271292,,
xingshi,刑事,0.268934,形式,0.327638
jiemu,节目,0.265479,,
yingyu,英语,0.264112,应于,0.499572
shifang,释放,0.261323,时方,0.580723
fuyou,富有,0.259720,复由,0.422396
dierwei,第二位,0.258375,,
jiazu,家族,0.257455,,
quanbu,全部,0.252777,,
la,拉,0.252597,la,0.330180
zhu,注,0.248299,嘱,0.472799
yuehan,约翰,0.247346,,
yule,娱乐,0.246673,,
nianling,年龄,0.241872,,
liangci,两次,0.240803,,
zhu,注,0.239553,嘱,0.457992
zhu,注,0.227816,嘱,0.464543
zaonian,早年,0.220901,,
zhu,注,0.218192,嘱,0.478792
wei,未,0.189878,位,0.230063
