pinyin,true_hanzi,true_sim,confused_hanzi,confused_sim
zhuxi,主席,0.441971,,
zhuxi,主席,0.440415,,
dangzhongyang,党中央,0.438942,,
xuanju,选举,0.437836,,
zhuxi,主席,0.435645,,
zhongyangjunwei,中央军委,0.435392,,
zhuxi,主席,0.428602,,
yin,因,0.428118,,
zongshuji,总书记,0.428079,,
zhongyangweiyuanhui,中央委员会,0.427425,,
shehuizhuyi,社会主义,0.427139,,
diyiren,第一任,0.426549,,
danren,担任,0.421439,,
da,大,0.420532,,
xijinping,习近平,0.420149,,
gongzuo,工作,0.419055,,
zhongyangzhengzhijuchangwei,中央政治局常委,0.414669,,
hebeisheng,河北省,0.414206,,
henan,河南,0.413881,,
zhongyangweiyuan,中央委员,0.412881,,
xijinping,习近平,0.412738,,
dangxuan,当选,0.412620,,
canjia,参加,0.407747,,
zhongyang,中央,0.407448,,
jinru,进入,0.407073,禁入,0.496499
xijinping,习近平,0.403944,,
xijinping,习近平,0.403851,,
zhongyangzhengzhiju,中央政治局,0.403479,,
dangxuan,当选,0.403400,,
dangxuan,当选,0.403101,,
wenhuadageming,文化大革命,0.402675,,
weiyuan,委员,0.401727,惟愿,0.560696
difang,地方,0.401635,,
dailai,带来,0.401422,,
houyu,后于,0.400676,,
sanjie,三届,0.400482,,
shengzhang,省长,0.398876,,
diwudai,第五代,0.397948,,
xijinping,习近平,0.396880,,
shanxisheng,陕西省,0.396223,,
houyu,后于,0.395067,,
dishiqi,第十七,0.394718,,
zhangcheng,章程,0.392902,,
dangxuan,当选,0.392890,,
qiyu,其于,0.391352,,
shuji,书记,0.389457,,
xijinping,习近平,0.388085,,
zuigao,最高,0.387234,,
zongshuji,总书记,0.386757,,
qianwang,前往,0.386535,迁往,0.426467
tichu,提出,0.386334,,
shuji,书记,0.386114,,
shuji,书记,0.385150,,
changwei,常委,0.384629,,
dangxuan,当选,0.384556,,
jiaru,加入,0.383951,,
zongshuji,总书记,0.383946,,
xijinping,习近平,0.383833,,
gechangjia,歌唱家,0.383747,,
zuigao,最高,0.381511,,
dierren,第二任,0.380978,,
renqi,任期,0.380866,,
dangnei,党内,0.376968,,
fu,副,0.376362,府,0.412880
xijinping,习近平,0.375431,,
fu,副,0.375375,府,0.409035
jieshou,接受,0.375342,接手,0.379880
jueyi,决议,0.375325,,
zuigao,最高,0.372464,,
shuji,书记,0.372434,,
lingdaoren,领导人,0.371998,,
jianren,兼任,0.371696,,
ren,任,0.369132,人,0.611149
chuzhong,初中,0.368088,初衷,0.397080
shuji,书记,0.366804,,
dangxuan,当选,0.365822,,
ren,任,0.365491,人,0.612612
yida,已达,0.363527,,
fu,副,0.362890,府,0.407087
lianren,连任,0.361530,,
xianhou,先后,0.361493,,
ren,任,0.361373,人,0.589349
renqi,任期,0.359450,,
renzhi,任职,0.359422,,
lingdaoren,领导人,0.358405,,
shanxi,陕西,0.358329,,
lianren,连任,0.357863,,
xianhou,先后,0.355458,,
qinghuadaxue,清华大学,0.355123,,
qi,起,0.353290,其,0.516049
xueye,学业,0.350870,,
biye,毕业,0.350158,,
lingdaoren,领导人,0.349655,,
fu,赴,0.348984,府,0.414127
diwei,地位,0.348579,,
jiudu,就读,0.347172,,
guanyuan,官员,0.346414,,
dang,党,0.345256,,
xianhou,先后,0.344373,,
shuji,书记,0.344282,,
lingdaoren,领导人,0.341301,,
chongji,冲击,0.340262,冲积,0.441762
ren,任,0.338749,人,0.686303
ren,任,0.338717,人,0.685305
lingdaoren,领导人,0.338267,,
lianren,连任,0.338057,,
xianhou,先后,0.337413,,
fu,赴,0.337364,府,0.412055
qiyong,启用,0.336797,,
xianhou,先后,0.336231,,
yuyou,育有,0.333732,遇有,0.575911
jiguan,籍贯,0.333624,机关,0.377214
sixiang,思想,0.333560,,
xianren,现任,0.329405,,
jie,届,0.329331,截,0.357480
renzhi,任职,0.329081,,
xiaozhang,校长,0.328293,,
queli,确立,0.328155,,
shidai,时代,0.326036,,
beipo,被迫,0.325432,,
zhiwu,职务,0.325128,,
dishiba,第十八,0.322252,,
zuji,祖籍,0.322137,,
mishu,秘书,0.320743,,
laodong,劳动,0.319372,,
zhongzhi,中止,0.318183,种植,0.342112
hexin,核心,0.318063,,
xiaoxue,小学,0.316020,,
jie,届,0.315544,截,0.329909
jie,届,0.311313,截,0.352075
tongzhi,同志,0.308987,统治,0.425173
zheng,政,0.308719,,
jie,届,0.308597,截,0.348062
jiating,家庭,0.306092,,
biaoshu,表述,0.304956,,
jie,届,0.304907,截,0.377060
zhangzi,长子,0.302708,,
shijiu,十九,0.299424,,
cun,村,0.298713,,
shengyu,生于,0.296522,,
chusheng,出生,0.290545,出声,0.329783
zhangda,长大,0.289127,,
zhijin,至今,0.288053,,
shiba,十八,0.287352,,
zaiciqijian,在此期间,0.286774,,
zhijin,至今,0.285682,,
shouwei,首位,0.285433,,
zheyi,这一,0.283709,,
zhijin,至今,0.283475,,
zhijin,至今,0.283012,,
shiba,十八,0.279689,,
qizi,妻子,0.278503,,
qizi,妻子,0.277615,,
renwu,人物,0.277386,任务,0.319676
chusheng,出生,0.276897,出声,0.364326
furen,夫人,0.276079,辅仁,0.556075
zhijin,至今,0.274532,,
tese,特色,0.274376,,
shouwei,首位,0.262967,,
zuizhang,最长,0.254603,,
xieru,写入,0.241015,,
zhu,注,0.240208,嘱,0.433987
ershi,二十,0.238819,而是,0.286497
ershi,二十,0.235103,而是,0.287184
dijiu,第九,0.233383,,
he,河,0.231852,和,0.836421
houqi,后期,0.229215,后起,0.456347
zhu,注,0.227106,嘱,0.472960
nvgaoyin,女高音,0.224142,,
ershi,二十,0.222475,而是,0.278863
ke,柯,0.211364,壳,0.234465
yuqi,与其,0.197087,预期,0.338823
zheng,正,0.186749,争,0.280943
